fila,subfila,columna,subcolumna,valor
720 China,Total Fechas,Sectores Económicos,EXPORT,"68085244041,27"
720 China,1995,Sectores Económicos,EXPORT,"679640478,19"
720 China,1996,Sectores Económicos,EXPORT,"468300761,53"
720 China,1997,Sectores Económicos,EXPORT,"428839788,63"
720 China,1998,Sectores Económicos,EXPORT,"469411362,86"
720 China,1999,Sectores Económicos,EXPORT,"442252227,76"
720 China,2000,Sectores Económicos,EXPORT,"553492691,74"
720 China,2001,Sectores Económicos,EXPORT,"634356758,71"
720 China,2002,Sectores Económicos,EXPORT,"796149692,94"
720 China,2003,Sectores Económicos,EXPORT,"1100364883,45"
720 China,2004,Sectores Económicos,EXPORT,"1162262754,39"
720 China,2005,Sectores Económicos,EXPORT,"1527310246,32"
720 China,2006,Sectores Económicos,EXPORT,"1722197073,55"
720 China,2007,Sectores Económicos,EXPORT,"2126671712,84"
720 China,2008,Sectores Económicos,EXPORT,"2152730801,04"
720 China,2009,Sectores Económicos,EXPORT,"1986110761,36"
720 China,2010,Sectores Económicos,EXPORT,"2663448790,10"
720 China,2011,Sectores Económicos,EXPORT,"3387341002,88"
720 China,2012,Sectores Económicos,EXPORT,"3784823468,45"
720 China,2013,Sectores Económicos,EXPORT,"3943023619,86"
720 China,2014,Sectores Económicos,EXPORT,"4060235938,01"
720 China,2015,Sectores Económicos,EXPORT,"4383956841,24"
720 China,2016,Sectores Económicos,EXPORT,"4878122550,35"
720 China,2017,Sectores Económicos,EXPORT,"5953064289,74"
720 China,2018,Sectores Económicos,EXPORT,"6278400244,06"
720 China,2019,Sectores Económicos,EXPORT,"6800772487,16"
720 China,2020,Sectores Económicos,EXPORT,"5701962814,11"
Total Mundo,Total Fechas,Sectores Económicos,EXPORT,"4628678125132,22"
Total Mundo,1995,Sectores Económicos,EXPORT,"69962210889,13"
Total Mundo,1996,Sectores Económicos,EXPORT,"78212098677,18"
Total Mundo,1997,Sectores Económicos,EXPORT,"93419368360,08"
Total Mundo,1998,Sectores Económicos,EXPORT,"99849457802,45"
