indicador,country,countryiso3code,year,value
GDP (current US$),Afghanistan,AFG,1960,537.777811111111
GDP (current US$),Afghanistan,AFG,1961,548.888895555556
GDP (current US$),Afghanistan,AFG,1962,546.666677777778
GDP (current US$),Afghanistan,AFG,1963,751.111191111111
GDP (current US$),Afghanistan,AFG,1964,800.000044444444
GDP (current US$),Afghanistan,AFG,1965,1006.66663777778
GDP (current US$),Afghanistan,AFG,1966,1399.99996666667
GDP (current US$),Afghanistan,AFG,1967,1673.33341777778
GDP (current US$),Afghanistan,AFG,1968,1373.33336666667
GDP (current US$),Afghanistan,AFG,1969,1408.88892222222
GDP (current US$),Afghanistan,AFG,1970,1748.88659555556
GDP (current US$),Afghanistan,AFG,1971,1831.10897111111
GDP (current US$),Afghanistan,AFG,1972,1595.55547555556
GDP (current US$),Afghanistan,AFG,1973,1733.33326444444
GDP (current US$),Afghanistan,AFG,1974,2155.55549777778
GDP (current US$),Afghanistan,AFG,1975,2366.66661555556
GDP (current US$),Afghanistan,AFG,1976,2555.55556666667
GDP (current US$),Afghanistan,AFG,1977,2953.33341777778
GDP (current US$),Afghanistan,AFG,1978,3300.00010888889
GDP (current US$),Afghanistan,AFG,1979,3697.94040961098
GDP (current US$),Afghanistan,AFG,1980,3641.72332199546
GDP (current US$),Afghanistan,AFG,1981,3478.78790909091
GDP (current US$),Afghanistan,AFG,1982,
GDP (current US$),Afghanistan,AFG,1983,
GDP (current US$),Afghanistan,AFG,1984,
GDP (current US$),Afghanistan,AFG,1985,
GDP (current US$),Afghanistan,AFG,1986,
GDP (current US$),Afghanistan,AFG,1987,
GDP (current US$),Afghanistan,AFG,1988,
GDP (current US$),Afghanistan,AFG,1989,
GDP (current US$),Afghanistan,AFG,1990,
GDP (current US$),Afghanistan,AFG,1991,
GDP (current US$),Afghanistan,AFG,1992,
GDP (current US$),Afghanistan,AFG,1993,
GDP (current US$),Afghanistan,AFG,1994,
GDP (current US$),Afghanistan,AFG,1995,
GDP (current US$),Afghanistan,AFG,1996,
GDP (current US$),Afghanistan,AFG,1997,
GDP (current US$),Afghanistan,AFG,1998,
GDP (current US$),Afghanistan,AFG,1999,
GDP (current US$),Afghanistan,AFG,2000,
GDP (current US$),Afghanistan,AFG,2001,
GDP (current US$),Afghanistan,AFG,2002,4055.17956634981
GDP (current US$),Afghanistan,AFG,2003,4515.55880810994
GDP (current US$),Afghanistan,AFG,2004,5226.77880889209
GDP (current US$),Afghanistan,AFG,2005,6209.13762477181
GDP (current US$),Afghanistan,AFG,2006,6971.28559468013
GDP (current US$),Afghanistan,AFG,2007,9747.87953186311
GDP (current US$),Afghanistan,AFG,2008,10109.2258136696
GDP (current US$),Afghanistan,AFG,2009,12439.0870767667
GDP (current US$),Afghanistan,AFG,2010,15856.5747314411
GDP (current US$),Afghanistan,AFG,2011,17804.2929641045
GDP (current US$),Afghanistan,AFG,2012,20001.5985057042
GDP (current US$),Afghanistan,AFG,2013,20561.0695582152
GDP (current US$),Afghanistan,AFG,2014,20484.8851197348
GDP (current US$),Afghanistan,AFG,2015,19907.1114189938
GDP (current US$),Afghanistan,AFG,2016,18017.7490739033
GDP (current US$),Afghanistan,AFG,2017,18869.9456779599
GDP (current US$),Afghanistan,AFG,2018,18353.881129881
GDP (current US$),Afghanistan,AFG,2019,19291.1040078299
GDP (current US$),Afghanistan,AFG,2020,
GDP (current US$),Albania,ALB,1960,
GDP (current US$),Albania,ALB,1961,
GDP (current US$),Albania,ALB,1962,
GDP (current US$),Albania,ALB,1963,
GDP (current US$),Albania,ALB,1964,
GDP (current US$),Albania,ALB,1965,
GDP (current US$),Albania,ALB,1966,
GDP (current US$),Albania,ALB,1967,
GDP (current US$),Albania,ALB,1968,
GDP (current US$),Albania,ALB,1969,
GDP (current US$),Albania,ALB,1970,
GDP (current US$),Albania,ALB,1971,
GDP (current US$),Albania,ALB,1972,
GDP (current US$),Albania,ALB,1973,
GDP (current US$),Albania,ALB,1974,
GDP (current US$),Albania,ALB,1975,
GDP (current US$),Albania,ALB,1976,
GDP (current US$),Albania,ALB,1977,
GDP (current US$),Albania,ALB,1978,
GDP (current US$),Albania,ALB,1979,
GDP (current US$),Albania,ALB,1980,
GDP (current US$),Albania,ALB,1981,
GDP (current US$),Albania,ALB,1982,
GDP (current US$),Albania,ALB,1983,
GDP (current US$),Albania,ALB,1984,1857.33801185488
GDP (current US$),Albania,ALB,1985,1897.05013342015
GDP (current US$),Albania,ALB,1986,2097.32625
GDP (current US$),Albania,ALB,1987,2080.79625
GDP (current US$),Albania,ALB,1988,2051.23625
GDP (current US$),Albania,ALB,1989,2253.09
GDP (current US$),Albania,ALB,1990,2028.55375
GDP (current US$),Albania,ALB,1991,1099.55902777778
GDP (current US$),Albania,ALB,1992,652.174990837304
GDP (current US$),Albania,ALB,1993,1185.31546846295
GDP (current US$),Albania,ALB,1994,1880.9515203972
GDP (current US$),Albania,ALB,1995,2392.76485342107
GDP (current US$),Albania,ALB,1996,3199.64257996974
GDP (current US$),Albania,ALB,1997,2258.51561008862
GDP (current US$),Albania,ALB,1998,2545.9672532416
GDP (current US$),Albania,ALB,1999,3212.11904417089
GDP (current US$),Albania,ALB,2000,3480.35518860063
GDP (current US$),Albania,ALB,2001,3922.09947097313
GDP (current US$),Albania,ALB,2002,4348.07016519261
GDP (current US$),Albania,ALB,2003,5611.49228286582
GDP (current US$),Albania,ALB,2004,7184.6813985698
GDP (current US$),Albania,ALB,2005,8052.07564210781
GDP (current US$),Albania,ALB,2006,8896.07393831407
GDP (current US$),Albania,ALB,2007,10677.3214903807
GDP (current US$),Albania,ALB,2008,12881.3541038398
GDP (current US$),Albania,ALB,2009,12044.2233525413
GDP (current US$),Albania,ALB,2010,11926.9285055231
GDP (current US$),Albania,ALB,2011,12890.7653242256
GDP (current US$),Albania,ALB,2012,12319.8302524768
GDP (current US$),Albania,ALB,2013,12776.2171947928
GDP (current US$),Albania,ALB,2014,13228.1440083428
GDP (current US$),Albania,ALB,2015,11386.8463191589
GDP (current US$),Albania,ALB,2016,11861.2007974707
GDP (current US$),Albania,ALB,2017,13019.6934508816
GDP (current US$),Albania,ALB,2018,15147.0205353869
GDP (current US$),Albania,ALB,2019,15279.1832899372
GDP (current US$),Albania,ALB,2020,
GDP (current US$),Algeria,DZA,1960,
GDP (current US$),Algeria,DZA,1961,
GDP (current US$),Algeria,DZA,1962,2001.46886773344
GDP (current US$),Algeria,DZA,1963,2703.01486732834
GDP (current US$),Algeria,DZA,1964,2909.35179258659
GDP (current US$),Algeria,DZA,1965,3136.2588969233
GDP (current US$),Algeria,DZA,1966,3039.83455874906
GDP (current US$),Algeria,DZA,1967,3370.84306576735
GDP (current US$),Algeria,DZA,1968,3852.11581697758
GDP (current US$),Algeria,DZA,1969,4257.21877215369
GDP (current US$),Algeria,DZA,1970,4863.48749265763
GDP (current US$),Algeria,DZA,1971,5077.22236697472
GDP (current US$),Algeria,DZA,1972,6761.78638654713
GDP (current US$),Algeria,DZA,1973,8715.10593049101
GDP (current US$),Algeria,DZA,1974,13209.7136433219
GDP (current US$),Algeria,DZA,1975,15557.9342684965
GDP (current US$),Algeria,DZA,1976,17728.347374994
GDP (current US$),Algeria,DZA,1977,20971.901273271
GDP (current US$),Algeria,DZA,1978,26364.4913134471
GDP (current US$),Algeria,DZA,1979,33243.4221576311
GDP (current US$),Algeria,DZA,1980,42345.2773420195
GDP (current US$),Algeria,DZA,1981,44348.6726678715
GDP (current US$),Algeria,DZA,1982,45207.0887156483
GDP (current US$),Algeria,DZA,1983,48801.3698003675
GDP (current US$),Algeria,DZA,1984,53698.2789059678
GDP (current US$),Algeria,DZA,1985,57937.8686701937
GDP (current US$),Algeria,DZA,1986,63696.3018928116
GDP (current US$),Algeria,DZA,1987,66742.2677731959
GDP (current US$),Algeria,DZA,1988,59089.0671873943
GDP (current US$),Algeria,DZA,1989,55631.4898015508
GDP (current US$),Algeria,DZA,1990,62045.0996427774
GDP (current US$),Algeria,DZA,1991,45715.3670871001
GDP (current US$),Algeria,DZA,1992,48003.2982231178
GDP (current US$),Algeria,DZA,1993,49946.455210966
GDP (current US$),Algeria,DZA,1994,42542.5713055136
GDP (current US$),Algeria,DZA,1995,41764.0524578814
GDP (current US$),Algeria,DZA,1996,46941.4967798499
GDP (current US$),Algeria,DZA,1997,48177.8625019495
GDP (current US$),Algeria,DZA,1998,48187.747528899
GDP (current US$),Algeria,DZA,1999,48640.5804067654
GDP (current US$),Algeria,DZA,2000,54790.233855966
GDP (current US$),Algeria,DZA,2001,54744.7257657191
GDP (current US$),Algeria,DZA,2002,56760.2469817525
GDP (current US$),Algeria,DZA,2003,67863.8413334195
GDP (current US$),Algeria,DZA,2004,85325.0031220947
GDP (current US$),Algeria,DZA,2005,103198.251003394
GDP (current US$),Algeria,DZA,2006,117027.321306159
GDP (current US$),Algeria,DZA,2007,134845.573817762
GDP (current US$),Algeria,DZA,2008,171008.067513162
GDP (current US$),Algeria,DZA,2009,137206.139022712
GDP (current US$),Algeria,DZA,2010,161155.315145814
GDP (current US$),Algeria,DZA,2011,200254.371997255
GDP (current US$),Algeria,DZA,2012,209021.250805932
GDP (current US$),Algeria,DZA,2013,209724.35122197
GDP (current US$),Algeria,DZA,2014,213860.450595829
GDP (current US$),Algeria,DZA,2015,166361.491140753
GDP (current US$),Algeria,DZA,2016,159994.83785512
GDP (current US$),Algeria,DZA,2017,170163.165960516
