fila,subfila,columna,subcolumna,valor
11 PRODUCTOS CÁRNICOS,,Total Nacional,,"8473,79"
12 LACTEOS Y HUEVOS,,Total Nacional,,"1538,58"
13 PRODUCTOS PESQUEROS,,Total Nacional,,"4035,07"
14 CEREALES,,Total Nacional,,"553,16"
"15 FRUTAS, HORTALIZAS Y LEGUMBRES",,Total Nacional,,"18451,79"
"16 AZUCAR, CAFE Y CACAO",,Total Nacional,,"1769,79"
17 PREPARADOS ALIMENTICIOS,,Total Nacional,,"3718,86"
18 BEBIDAS,,Total Nacional,,"4213,53"
19 TABACOS,,Total Nacional,,"253,48"
1A GRASAS Y ACEITES,,Total Nacional,,"4132,31"
1B SEMILLAS Y FRUTOS OLEAGINOSOS,,Total Nacional,,"159,84"
1C PIENSOS ANIMALES,,Total Nacional,,"1334,41"
21 CARBON,,Total Nacional,,"171,47"
22 PETROLEO Y DERIVADOS,,Total Nacional,,"19796,06"
23 GAS,,Total Nacional,,"421,06"
24 CORRIENTE ELECTRICA,,Total Nacional,,"765,50"
31 MAT. PRIMAS ANIMALES Y VEGETAL,,Total Nacional,,"2856,55"
32 MENAS Y MINERALES,,Total Nacional,,"4222,72"
41 METALES NO FERROSOS,,Total Nacional,,"6169,00"
42 HIERRO Y ACERO,,Total Nacional,,"8348,58"
43 PRODUCTOS QUIMICOS,,Total Nacional,,"42103,12"
44 OTRAS SEMIMANUFACTURAS,,Total Nacional,,"15006,39"
51 MAQ. ESPECIFICA CIERTAS INDUST,,Total Nacional,,"15153,90"
52 EQUIPO OFICINA Y TELECOMUNIC.,,Total Nacional,,"3708,25"
53 MATERIAL TRANSPORTE,,Total Nacional,,"15905,99"
54 OTROS BIENES DE EQUIPO,,Total Nacional,,"24342,58"
61 AUTOMOVILES Y MOTOS,,Total Nacional,,"31262,72"
62 COMPONENTES DEL AUTOMOVIL,,Total Nacional,,"12954,28"
71 ELECTRODOMESTICOS,,Total Nacional,,"1307,87"
72 ELECTRONICA DE CONSUMO,,Total Nacional,,"387,85"
73 MUEBLES,,Total Nacional,,"2318,48"
74 OTROS BIENES CONSUMO DURADERO,,Total Nacional,,"579,13"
81 TEXTILES Y CONFECCION,,Total Nacional,,"17575,71"
82 CALZADO,,Total Nacional,,"2846,73"
83 JUGUETES,,Total Nacional,,"1927,19"
84 ALFARERIA,,Total Nacional,,"102,88"
85 JOYERIA Y RELOJES,,Total Nacional,,"832,95"
86 CUERO Y MANUFACTURAS DEL CUERO,,Total Nacional,,"539,07"
87 OTRAS MANUFACTURAS DE CONSUMO,,Total Nacional,,"5567,53"
9 OTRAS MERCANCIAS,,Total Nacional,,"4280,87"
11 PRODUCTOS CÁRNICOS,,Andalucía,,"499,00"
12 LACTEOS Y HUEVOS,,Andalucía,,"107,91"
13 PRODUCTOS PESQUEROS,,Andalucía,,"320,94"
14 CEREALES,,Andalucía,,"259,28"
"15 FRUTAS, HORTALIZAS Y LEGUMBRES",,Andalucía,,"6554,43"
"16 AZUCAR, CAFE Y CACAO",,Andalucía,,"63,70"
17 PREPARADOS ALIMENTICIOS,,Andalucía,,"201,66"
18 BEBIDAS,,Andalucía,,"324,29"
19 TABACOS,,Andalucía,,"18,72"
1A GRASAS Y ACEITES,,Andalucía,,"2568,71"
1B SEMILLAS Y FRUTOS OLEAGINOSOS,,Andalucía,,"53,01"
1C PIENSOS ANIMALES,,Andalucía,,"64,21"
21 CARBON,,Andalucía,,"6,14"
22 PETROLEO Y DERIVADOS,,Andalucía,,"4913,89"
23 GAS,,Andalucía,,"136,32"
24 CORRIENTE ELECTRICA,,Andalucía,,
31 MAT. PRIMAS ANIMALES Y VEGETAL,,Andalucía,,"268,33"
32 MENAS Y MINERALES,,Andalucía,,"1989,14"
41 METALES NO FERROSOS,,Andalucía,,"1155,90"
42 HIERRO Y ACERO,,Andalucía,,"1084,28"
43 PRODUCTOS QUIMICOS,,Andalucía,,"2430,60"
44 OTRAS SEMIMANUFACTURAS,,Andalucía,,"960,91"
51 MAQ. ESPECIFICA CIERTAS INDUST,,Andalucía,,"507,04"
52 EQUIPO OFICINA Y TELECOMUNIC.,,Andalucía,,"203,80"
53 MATERIAL TRANSPORTE,,Andalucía,,"2569,56"
54 OTROS BIENES DE EQUIPO,,Andalucía,,"1999,82"
61 AUTOMOVILES Y MOTOS,,Andalucía,,"76,26"
62 COMPONENTES DEL AUTOMOVIL,,Andalucía,,"233,26"
71 ELECTRODOMESTICOS,,Andalucía,,"13,40"
72 ELECTRONICA DE CONSUMO,,Andalucía,,"104,16"
73 MUEBLES,,Andalucía,,"155,62"
74 OTROS BIENES CONSUMO DURADERO,,Andalucía,,"20,53"
81 TEXTILES Y CONFECCION,,Andalucía,,"494,50"
82 CALZADO,,Andalucía,,"29,32"
83 JUGUETES,,Andalucía,,"17,27"
84 ALFARERIA,,Andalucía,,"7,36"
85 JOYERIA Y RELOJES,,Andalucía,,"94,90"
86 CUERO Y MANUFACTURAS DEL CUERO,,Andalucía,,"4,63"
87 OTRAS MANUFACTURAS DE CONSUMO,,Andalucía,,"205,52"
9 OTRAS MERCANCIAS,,Andalucía,,"1019,83"
11 PRODUCTOS CÁRNICOS,,Aragón,,"1284,62"
12 LACTEOS Y HUEVOS,,Aragón,,"66,59"
13 PRODUCTOS PESQUEROS,,Aragón,,"27,09"
14 CEREALES,,Aragón,,"38,71"
"15 FRUTAS, HORTALIZAS Y LEGUMBRES",,Aragón,,"262,09"
"16 AZUCAR, CAFE Y CACAO",,Aragón,,"22,92"
17 PREPARADOS ALIMENTICIOS,,Aragón,,"145,08"
18 BEBIDAS,,Aragón,,"110,40"
19 TABACOS,,Aragón,,
1A GRASAS Y ACEITES,,Aragón,,"33,12"
1B SEMILLAS Y FRUTOS OLEAGINOSOS,,Aragón,,"4,93"
1C PIENSOS ANIMALES,,Aragón,,"100,74"
21 CARBON,,Aragón,,
22 PETROLEO Y DERIVADOS,,Aragón,,"52,60"
23 GAS,,Aragón,,"0,00"
24 CORRIENTE ELECTRICA,,Aragón,,
31 MAT. PRIMAS ANIMALES Y VEGETAL,,Aragón,,"80,59"
32 MENAS Y MINERALES,,Aragón,,"51,41"
41 METALES NO FERROSOS,,Aragón,,"109,87"
42 HIERRO Y ACERO,,Aragón,,"137,87"
43 PRODUCTOS QUIMICOS,,Aragón,,"1111,44"
44 OTRAS SEMIMANUFACTURAS,,Aragón,,"505,43"
51 MAQ. ESPECIFICA CIERTAS INDUST,,Aragón,,"855,75"
52 EQUIPO OFICINA Y TELECOMUNIC.,,Aragón,,"87,61"
53 MATERIAL TRANSPORTE,,Aragón,,"274,30"
54 OTROS BIENES DE EQUIPO,,Aragón,,"1044,70"
61 AUTOMOVILES Y MOTOS,,Aragón,,"3890,34"
62 COMPONENTES DEL AUTOMOVIL,,Aragón,,"514,49"
71 ELECTRODOMESTICOS,,Aragón,,"465,15"
72 ELECTRONICA DE CONSUMO,,Aragón,,"7,48"
73 MUEBLES,,Aragón,,"124,14"
74 OTROS BIENES CONSUMO DURADERO,,Aragón,,"60,68"
81 TEXTILES Y CONFECCION,,Aragón,,"1531,06"
82 CALZADO,,Aragón,,"87,87"
83 JUGUETES,,Aragón,,"111,71"
84 ALFARERIA,,Aragón,,"0,80"
85 JOYERIA Y RELOJES,,Aragón,,"17,14"
86 CUERO Y MANUFACTURAS DEL CUERO,,Aragón,,"14,31"
87 OTRAS MANUFACTURAS DE CONSUMO,,Aragón,,"184,38"
9 OTRAS MERCANCIAS,,Aragón,,"55,17"
11 PRODUCTOS CÁRNICOS,,"Asturias, Principado de",,"4,43"
12 LACTEOS Y HUEVOS,,"Asturias, Principado de",,"156,05"
13 PRODUCTOS PESQUEROS,,"Asturias, Principado de",,"6,54"
14 CEREALES,,"Asturias, Principado de",,"0,03"
"15 FRUTAS, HORTALIZAS Y LEGUMBRES",,"Asturias, Principado de",,"5,18"
"16 AZUCAR, CAFE Y CACAO",,"Asturias, Principado de",,"2,60"
17 PREPARADOS ALIMENTICIOS,,"Asturias, Principado de",,"46,05"
18 BEBIDAS,,"Asturias, Principado de",,"6,49"
19 TABACOS,,"Asturias, Principado de",,"0,40"
1A GRASAS Y ACEITES,,"Asturias, Principado de",,"2,11"
1B SEMILLAS Y FRUTOS OLEAGINOSOS,,"Asturias, Principado de",,"0,00"
1C PIENSOS ANIMALES,,"Asturias, Principado de",,"0,05"
21 CARBON,,"Asturias, Principado de",,"123,39"
22 PETROLEO Y DERIVADOS,,"Asturias, Principado de",,"25,90"
23 GAS,,"Asturias, Principado de",,"2,63"
24 CORRIENTE ELECTRICA,,"Asturias, Principado de",,
31 MAT. PRIMAS ANIMALES Y VEGETAL,,"Asturias, Principado de",,"180,70"
32 MENAS Y MINERALES,,"Asturias, Principado de",,"132,61"
41 METALES NO FERROSOS,,"Asturias, Principado de",,"1381,70"
42 HIERRO Y ACERO,,"Asturias, Principado de",,"921,41"
43 PRODUCTOS QUIMICOS,,"Asturias, Principado de",,"307,88"
44 OTRAS SEMIMANUFACTURAS,,"Asturias, Principado de",,"118,77"
51 MAQ. ESPECIFICA CIERTAS INDUST,,"Asturias, Principado de",,"265,06"
52 EQUIPO OFICINA Y TELECOMUNIC.,,"Asturias, Principado de",,"12,56"
53 MATERIAL TRANSPORTE,,"Asturias, Principado de",,"111,50"
54 OTROS BIENES DE EQUIPO,,"Asturias, Principado de",,"545,61"
61 AUTOMOVILES Y MOTOS,,"Asturias, Principado de",,"54,11"
62 COMPONENTES DEL AUTOMOVIL,,"Asturias, Principado de",,"69,16"
71 ELECTRODOMESTICOS,,"Asturias, Principado de",,"6,10"
72 ELECTRONICA DE CONSUMO,,"Asturias, Principado de",,"0,03"
73 MUEBLES,,"Asturias, Principado de",,"33,70"
74 OTROS BIENES CONSUMO DURADERO,,"Asturias, Principado de",,"1,09"
81 TEXTILES Y CONFECCION,,"Asturias, Principado de",,"110,30"
82 CALZADO,,"Asturias, Principado de",,"0,60"
83 JUGUETES,,"Asturias, Principado de",,"5,94"
84 ALFARERIA,,"Asturias, Principado de",,"0,59"
85 JOYERIA Y RELOJES,,"Asturias, Principado de",,"2,51"
86 CUERO Y MANUFACTURAS DEL CUERO,,"Asturias, Principado de",,"0,57"
87 OTRAS MANUFACTURAS DE CONSUMO,,"Asturias, Principado de",,"40,44"
9 OTRAS MERCANCIAS,,"Asturias, Principado de",,"148,34"
11 PRODUCTOS CÁRNICOS,,"Balears, Illes",,"5,64"
12 LACTEOS Y HUEVOS,,"Balears, Illes",,"6,71"
13 PRODUCTOS PESQUEROS,,"Balears, Illes",,"4,16"
14 CEREALES,,"Balears, Illes",,"0,01"
"15 FRUTAS, HORTALIZAS Y LEGUMBRES",,"Balears, Illes",,"42,61"
"16 AZUCAR, CAFE Y CACAO",,"Balears, Illes",,"1,46"
17 PREPARADOS ALIMENTICIOS,,"Balears, Illes",,"8,76"
18 BEBIDAS,,"Balears, Illes",,"12,32"
19 TABACOS,,"Balears, Illes",,"1,49"
1A GRASAS Y ACEITES,,"Balears, Illes",,"1,04"
1B SEMILLAS Y FRUTOS OLEAGINOSOS,,"Balears, Illes",,"0,16"
1C PIENSOS ANIMALES,,"Balears, Illes",,"0,01"
21 CARBON,,"Balears, Illes",,"0,00"
22 PETROLEO Y DERIVADOS,,"Balears, Illes",,"377,82"
23 GAS,,"Balears, Illes",,"0,00"
24 CORRIENTE ELECTRICA,,"Balears, Illes",,
31 MAT. PRIMAS ANIMALES Y VEGETAL,,"Balears, Illes",,"25,10"
32 MENAS Y MINERALES,,"Balears, Illes",,"1,29"
41 METALES NO FERROSOS,,"Balears, Illes",,"1,06"
42 HIERRO Y ACERO,,"Balears, Illes",,"2,04"
43 PRODUCTOS QUIMICOS,,"Balears, Illes",,"735,44"
44 OTRAS SEMIMANUFACTURAS,,"Balears, Illes",,"15,55"
51 MAQ. ESPECIFICA CIERTAS INDUST,,"Balears, Illes",,"38,61"
52 EQUIPO OFICINA Y TELECOMUNIC.,,"Balears, Illes",,"10,04"
53 MATERIAL TRANSPORTE,,"Balears, Illes",,"95,52"
54 OTROS BIENES DE EQUIPO,,"Balears, Illes",,"47,04"
61 AUTOMOVILES Y MOTOS,,"Balears, Illes",,"187,38"
62 COMPONENTES DEL AUTOMOVIL,,"Balears, Illes",,"0,94"
71 ELECTRODOMESTICOS,,"Balears, Illes",,"6,69"
72 ELECTRONICA DE CONSUMO,,"Balears, Illes",,"0,39"
73 MUEBLES,,"Balears, Illes",,"21,60"
74 OTROS BIENES CONSUMO DURADERO,,"Balears, Illes",,"7,73"
81 TEXTILES Y CONFECCION,,"Balears, Illes",,"12,76"
82 CALZADO,,"Balears, Illes",,"83,35"
83 JUGUETES,,"Balears, Illes",,"0,42"
84 ALFARERIA,,"Balears, Illes",,"3,01"
85 JOYERIA Y RELOJES,,"Balears, Illes",,"9,73"
86 CUERO Y MANUFACTURAS DEL CUERO,,"Balears, Illes",,"0,23"
87 OTRAS MANUFACTURAS DE CONSUMO,,"Balears, Illes",,"13,45"
9 OTRAS MERCANCIAS,,"Balears, Illes",,"8,17"
11 PRODUCTOS CÁRNICOS,,Canarias,,"5,93"
12 LACTEOS Y HUEVOS,,Canarias,,"4,77"
13 PRODUCTOS PESQUEROS,,Canarias,,"46,70"
14 CEREALES,,Canarias,,"0,32"
"15 FRUTAS, HORTALIZAS Y LEGUMBRES",,Canarias,,"53,13"
"16 AZUCAR, CAFE Y CACAO",,Canarias,,"12,53"
17 PREPARADOS ALIMENTICIOS,,Canarias,,"14,01"
18 BEBIDAS,,Canarias,,"36,68"
19 TABACOS,,Canarias,,"62,37"
1A GRASAS Y ACEITES,,Canarias,,"4,72"
1B SEMILLAS Y FRUTOS OLEAGINOSOS,,Canarias,,"0,03"
1C PIENSOS ANIMALES,,Canarias,,"0,08"
21 CARBON,,Canarias,,"0,00"
22 PETROLEO Y DERIVADOS,,Canarias,,"1581,76"
23 GAS,,Canarias,,"1,54"
24 CORRIENTE ELECTRICA,,Canarias,,
31 MAT. PRIMAS ANIMALES Y VEGETAL,,Canarias,,"28,95"
32 MENAS Y MINERALES,,Canarias,,"11,76"
41 METALES NO FERROSOS,,Canarias,,"0,91"
42 HIERRO Y ACERO,,Canarias,,"8,47"
43 PRODUCTOS QUIMICOS,,Canarias,,"122,79"
44 OTRAS SEMIMANUFACTURAS,,Canarias,,"41,49"
51 MAQ. ESPECIFICA CIERTAS INDUST,,Canarias,,"113,05"
52 EQUIPO OFICINA Y TELECOMUNIC.,,Canarias,,"11,06"
53 MATERIAL TRANSPORTE,,Canarias,,"72,99"
54 OTROS BIENES DE EQUIPO,,Canarias,,"136,19"
61 AUTOMOVILES Y MOTOS,,Canarias,,"60,74"
62 COMPONENTES DEL AUTOMOVIL,,Canarias,,"35,31"
71 ELECTRODOMESTICOS,,Canarias,,"1,72"
72 ELECTRONICA DE CONSUMO,,Canarias,,"1,79"
73 MUEBLES,,Canarias,,"2,99"
74 OTROS BIENES CONSUMO DURADERO,,Canarias,,"4,62"
81 TEXTILES Y CONFECCION,,Canarias,,"28,92"
82 CALZADO,,Canarias,,"4,19"
83 JUGUETES,,Canarias,,"2,24"
84 ALFARERIA,,Canarias,,"1,17"
85 JOYERIA Y RELOJES,,Canarias,,"14,49"
86 CUERO Y MANUFACTURAS DEL CUERO,,Canarias,,"0,01"
87 OTRAS MANUFACTURAS DE CONSUMO,,Canarias,,"36,77"
9 OTRAS MERCANCIAS,,Canarias,,"100,83"
11 PRODUCTOS CÁRNICOS,,Cantabria,,"15,17"
12 LACTEOS Y HUEVOS,,Cantabria,,"17,97"
13 PRODUCTOS PESQUEROS,,Cantabria,,"81,46"
14 CEREALES,,Cantabria,,"0,02"
"15 FRUTAS, HORTALIZAS Y LEGUMBRES",,Cantabria,,"0,45"
"16 AZUCAR, CAFE Y CACAO",,Cantabria,,"79,12"
17 PREPARADOS ALIMENTICIOS,,Cantabria,,"57,62"
18 BEBIDAS,,Cantabria,,"0,53"
19 TABACOS,,Cantabria,,"55,11"
1A GRASAS Y ACEITES,,Cantabria,,"0,32"
1B SEMILLAS Y FRUTOS OLEAGINOSOS,,Cantabria,,
1C PIENSOS ANIMALES,,Cantabria,,"4,62"
21 CARBON,,Cantabria,,"0,23"
22 PETROLEO Y DERIVADOS,,Cantabria,,"24,39"
23 GAS,,Cantabria,,
24 CORRIENTE ELECTRICA,,Cantabria,,
31 MAT. PRIMAS ANIMALES Y VEGETAL,,Cantabria,,"187,03"
32 MENAS Y MINERALES,,Cantabria,,"28,27"
41 METALES NO FERROSOS,,Cantabria,,"13,27"
42 HIERRO Y ACERO,,Cantabria,,"456,06"
43 PRODUCTOS QUIMICOS,,Cantabria,,"389,20"
44 OTRAS SEMIMANUFACTURAS,,Cantabria,,"118,72"
51 MAQ. ESPECIFICA CIERTAS INDUST,,Cantabria,,"148,46"
52 EQUIPO OFICINA Y TELECOMUNIC.,,Cantabria,,"6,70"
53 MATERIAL TRANSPORTE,,Cantabria,,"6,88"
54 OTROS BIENES DE EQUIPO,,Cantabria,,"379,24"
