fila,subfila,columna,subcolumna,valor
AF - Africa,Total seleccionado,EXPORT,,"252808,60"
AF - Africa,1995,EXPORT,,"2641,08"
AF - Africa,1996,EXPORT,,"2768,48"
AF - Africa,1997,EXPORT,,"3216,96"
AF - Africa,1998,EXPORT,,"3773,27"
AF - Africa,1999,EXPORT,,"3828,97"
AF - Africa,2000,EXPORT,,"4118,34"
AF - Africa,2001,EXPORT,,"4555,52"
AF - Africa,2002,EXPORT,,"4834,72"
AF - Africa,2003,EXPORT,,"5284,90"
AF - Africa,2004,EXPORT,,"5993,23"
AF - Africa,2006,EXPORT,,"6997,04"
AF - Africa,2005,EXPORT,,"6601,50"
AF - Africa,2007,EXPORT,,"8050,70"
AF - Africa,2009,EXPORT,,"9311,57"
AF - Africa,2008,EXPORT,,"10157,57"
AF - Africa,2010,EXPORT,,"10437,09"
AF - Africa,2011,EXPORT,,"11678,71"
AF - Africa,2012,EXPORT,,"15189,42"
AF - Africa,2013,EXPORT,,"16611,96"
AF - Africa,2014,EXPORT,,"16306,18"
AF - Africa,2015,EXPORT,,"16181,54"
AF - Africa,2016,EXPORT,,"16560,61"
AF - Africa,2018,EXPORT,,"18554,45"
AF - Africa,2017,EXPORT,,"17666,54"
AF - Africa,2019,EXPORT,,"18658,83"
AF - Africa,2020,EXPORT,,"12829,43"
AM - América,Total seleccionado,EXPORT,,"483472,78"
AM - América,1995,EXPORT,,"7161,46"
AM - América,1996,EXPORT,,"8329,39"
AM - América,1997,EXPORT,,"10395,74"
AM - América,1998,EXPORT,,"11260,96"
AM - América,1999,EXPORT,,"11449,64"
AM - América,2000,EXPORT,,"14189,15"
AM - América,2001,EXPORT,,"13989,89"
AM - América,2002,EXPORT,,"13626,38"
AM - América,2003,EXPORT,,"13169,60"
AM - América,2004,EXPORT,,"13595,30"
AM - América,2006,EXPORT,,"18555,63"
AM - América,2005,EXPORT,,"15200,04"
AM - América,2007,EXPORT,,"17821,91"
AM - América,2009,EXPORT,,"14298,66"
AM - América,2008,EXPORT,,"17761,59"
AM - América,2010,EXPORT,,"17843,61"
AM - América,2011,EXPORT,,"21361,73"
AM - América,2012,EXPORT,,"24353,23"
AM - América,2013,EXPORT,,"25288,78"
AM - América,2014,EXPORT,,"26291,45"
AM - América,2015,EXPORT,,"28246,95"
AM - América,2016,EXPORT,,"26638,05"
AM - América,2018,EXPORT,,"30405,26"
AM - América,2017,EXPORT,,"29740,10"
AM - América,2019,EXPORT,,"31393,83"
AM - América,2020,EXPORT,,"21104,45"
AS - Asia,Total seleccionado,EXPORT,,"360042,44"
AS - Asia,1995,EXPORT,,"5289,40"
AS - Asia,1996,EXPORT,,"5821,11"
AS - Asia,1997,EXPORT,,"6808,21"
AS - Asia,1998,EXPORT,,"5627,58"
AS - Asia,1999,EXPORT,,"5848,18"
AS - Asia,2000,EXPORT,,"7236,84"
AS - Asia,2001,EXPORT,,"7573,01"
AS - Asia,2002,EXPORT,,"7633,72"
AS - Asia,2003,EXPORT,,"7501,52"
AS - Asia,2004,EXPORT,,"8106,12"
AS - Asia,2006,EXPORT,,"9666,13"
AS - Asia,2005,EXPORT,,"8641,23"
AS - Asia,2007,EXPORT,,"11329,11"
AS - Asia,2009,EXPORT,,"11233,80"
AS - Asia,2008,EXPORT,,"12188,38"
AS - Asia,2010,EXPORT,,"13955,54"
AS - Asia,2011,EXPORT,,"16804,97"
AS - Asia,2012,EXPORT,,"18974,59"
AS - Asia,2013,EXPORT,,"20942,30"
AS - Asia,2014,EXPORT,,"22691,99"
AS - Asia,2015,EXPORT,,"23903,06"
AS - Asia,2016,EXPORT,,"23803,30"
AS - Asia,2018,EXPORT,,"26114,37"
AS - Asia,2017,EXPORT,,"25451,21"
AS - Asia,2019,EXPORT,,"26791,92"
AS - Asia,2020,EXPORT,,"20104,85"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),Total seleccionado,EXPORT,,"3139428,62"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),1995,EXPORT,,"51305,90"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),1996,EXPORT,,"57049,98"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),1997,EXPORT,,"67374,63"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),1998,EXPORT,,"73319,77"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),1999,EXPORT,,"77493,78"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2000,EXPORT,,"90014,78"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2001,EXPORT,,"95890,93"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2002,EXPORT,,"98711,17"
UE - Unión Europea 28 países(d.2013-07 h.2020-01),2003,EXPORT,,"103121,83"
