fila,subfila,columna,subcolumna,valor
1  Marítimo,,Total seleccionado,EXPORT,"220343,81"
3  Carretera,,Total seleccionado,EXPORT,"391013,27"
2  Ferrocarril,,Total seleccionado,EXPORT,"35419,49"
Total modo transporte,,Total seleccionado,EXPORT,"713400,70"
4  Aire,,Total seleccionado,EXPORT,"50939,61"
5  Tráfico postal,,Total seleccionado,EXPORT,"3332,16"
6  Desconocido,,Total seleccionado,EXPORT,"4719,17"
7  Plataforma fija,,Total seleccionado,EXPORT,"2354,91"
8  Transporte fluvial,,Total seleccionado,EXPORT,"49,69"
9  Propulsión propia,,Total seleccionado,EXPORT,"5228,61"
1  Marítimo,,Total seleccionado,IMPORT,"318736,36"
3  Carretera,,Total seleccionado,IMPORT,"454902,26"
2  Ferrocarril,,Total seleccionado,IMPORT,"11595,24"
Total modo transporte,,Total seleccionado,IMPORT,"857465,41"
4  Aire,,Total seleccionado,IMPORT,"45608,44"
5  Tráfico postal,,Total seleccionado,IMPORT,"2864,62"
6  Desconocido,,Total seleccionado,IMPORT,"8962,64"
7  Plataforma fija,,Total seleccionado,IMPORT,"9758,07"
8  Transporte fluvial,,Total seleccionado,IMPORT,"63,32"
9  Propulsión propia,,Total seleccionado,IMPORT,"4974,46"
1  Marítimo,,1995,EXPORT,"20243,29"
3  Carretera,,1995,EXPORT,"39435,32"
2  Ferrocarril,,1995,EXPORT,"6336,35"
Total modo transporte,,1995,EXPORT,"69962,21"
4  Aire,,1995,EXPORT,"3082,13"
5  Tráfico postal,,1995,EXPORT,"144,84"
6  Desconocido,,1995,EXPORT,"312,87"
7  Plataforma fija,,1995,EXPORT,"123,05"
8  Transporte fluvial,,1995,EXPORT,"0,16"
9  Propulsión propia,,1995,EXPORT,"284,20"
1  Marítimo,,1995,IMPORT,"27332,25"
3  Carretera,,1995,IMPORT,"50728,01"
2  Ferrocarril,,1995,IMPORT,"2735,15"
Total modo transporte,,1995,IMPORT,"87142,30"
4  Aire,,1995,IMPORT,"5103,27"
5  Tráfico postal,,1995,IMPORT,"113,02"
6  Desconocido,,1995,IMPORT,"505,54"
7  Plataforma fija,,1995,IMPORT,"198,09"
8  Transporte fluvial,,1995,IMPORT,"1,06"
9  Propulsión propia,,1995,IMPORT,"425,90"
1  Marítimo,,2003,EXPORT,"35880,24"
3  Carretera,,2003,EXPORT,"79565,89"
2  Ferrocarril,,2003,EXPORT,"9464,95"
Total modo transporte,,2003,EXPORT,"138119,05"
4  Aire,,2003,EXPORT,"7338,37"
5  Tráfico postal,,2003,EXPORT,"70,15"
6  Desconocido,,2003,EXPORT,"4181,72"
7  Plataforma fija,,2003,EXPORT,"549,43"
8  Transporte fluvial,,2003,EXPORT,"5,86"
9  Propulsión propia,,2003,EXPORT,"1062,44"
1  Marítimo,,2003,IMPORT,"55800,33"
3  Carretera,,2003,IMPORT,"104919,91"
2  Ferrocarril,,2003,IMPORT,"5173,77"
Total modo transporte,,2003,IMPORT,"185113,68"
4  Aire,,2003,IMPORT,"9236,59"
5  Tráfico postal,,2003,IMPORT,"136,51"
6  Desconocido,,2003,IMPORT,"6176,97"
7  Plataforma fija,,2003,IMPORT,"1475,32"
8  Transporte fluvial,,2003,IMPORT,"19,27"
9  Propulsión propia,,2003,IMPORT,"2175,01"
1  Marítimo,,2011,EXPORT,"70007,55"
3  Carretera,,2011,EXPORT,"117442,11"
2  Ferrocarril,,2011,EXPORT,"6940,14"
Total modo transporte,,2011,EXPORT,"215230,37"
4  Aire,,2011,EXPORT,"17313,06"
5  Tráfico postal,,2011,EXPORT,"957,28"
6  Desconocido,,2011,EXPORT,"0,00"
7  Plataforma fija,,2011,EXPORT,"767,60"
8  Transporte fluvial,,2011,EXPORT,"32,59"
9  Propulsión propia,,2011,EXPORT,"1770,04"
1  Marítimo,,2011,IMPORT,"110000,23"
3  Carretera,,2011,IMPORT,"130550,49"
2  Ferrocarril,,2011,IMPORT,"1500,02"
Total modo transporte,,2011,IMPORT,"263140,74"
4  Aire,,2011,IMPORT,"12829,47"
5  Tráfico postal,,2011,IMPORT,"689,35"
6  Desconocido,,2011,IMPORT,"1900,97"
7  Plataforma fija,,2011,IMPORT,"4063,02"
8  Transporte fluvial,,2011,IMPORT,"39,10"
9  Propulsión propia,,2011,IMPORT,"1568,09"
1  Marítimo,,2019,EXPORT,"94212,73"
3  Carretera,,2019,EXPORT,"154569,95"
2  Ferrocarril,,2019,EXPORT,"12678,05"
Total modo transporte,,2019,EXPORT,"290089,07"
4  Aire,,2019,EXPORT,"23206,05"
5  Tráfico postal,,2019,EXPORT,"2159,88"
6  Desconocido,,2019,EXPORT,"224,58"
7  Plataforma fija,,2019,EXPORT,"914,83"
8  Transporte fluvial,,2019,EXPORT,"11,07"
9  Propulsión propia,,2019,EXPORT,"2111,93"
1  Marítimo,,2019,IMPORT,"125603,54"
3  Carretera,,2019,IMPORT,"168703,85"
2  Ferrocarril,,2019,IMPORT,"2186,30"
Total modo transporte,,2019,IMPORT,"322068,69"
4  Aire,,2019,IMPORT,"18439,09"
5  Tráfico postal,,2019,IMPORT,"1925,73"
6  Desconocido,,2019,IMPORT,"379,17"
7  Plataforma fija,,2019,IMPORT,"4021,65"
8  Transporte fluvial,,2019,IMPORT,"3,89"
9  Propulsión propia,,2019,IMPORT,"805,46"
