fila,subfila,columna,subcolumna,valor
Total seleccionado,Total Fechas,Sectores Económicos,EXPORT,"3842668,91"
Total seleccionado,1995,Sectores Económicos,EXPORT,"58611,88"
Total seleccionado,1996,Sectores Económicos,EXPORT,"64963,06"
Total seleccionado,1997,Sectores Económicos,EXPORT,"77267,58"
Total seleccionado,1998,Sectores Económicos,EXPORT,"84168,97"
Total seleccionado,1999,Sectores Económicos,EXPORT,"88755,03"
Total seleccionado,2000,Sectores Económicos,EXPORT,"104739,83"
Total seleccionado,2001,Sectores Económicos,EXPORT,"110250,07"
Total seleccionado,2002,Sectores Económicos,EXPORT,"114803,35"
Total seleccionado,2003,Sectores Económicos,EXPORT,"119536,18"
Total seleccionado,2004,Sectores Económicos,EXPORT,"126269,56"
Total seleccionado,2005,Sectores Económicos,EXPORT,"131652,27"
Total seleccionado,2006,Sectores Económicos,EXPORT,"143105,24"
Total seleccionado,2007,Sectores Económicos,EXPORT,"155469,32"
Total seleccionado,2008,Sectores Económicos,EXPORT,"156769,78"
Total seleccionado,2009,Sectores Económicos,EXPORT,"132768,89"
Total seleccionado,2010,Sectores Económicos,EXPORT,"152820,96"
Total seleccionado,2011,Sectores Económicos,EXPORT,"173994,66"
Total seleccionado,2012,Sectores Económicos,EXPORT,"178466,31"
Total seleccionado,2013,Sectores Económicos,EXPORT,"184636,77"
Total seleccionado,2014,Sectores Económicos,EXPORT,"191436,11"
Total seleccionado,2015,Sectores Económicos,EXPORT,"202916,07"
Total seleccionado,2016,Sectores Económicos,EXPORT,"212062,23"
Total seleccionado,2017,Sectores Económicos,EXPORT,"226808,19"
Total seleccionado,2018,Sectores Económicos,EXPORT,"233146,94"
Total seleccionado,2019,Sectores Económicos,EXPORT,"237905,74"
Total seleccionado,2020,Sectores Económicos,EXPORT,"179343,91"
001 Francia,Total Fechas,Sectores Económicos,EXPORT,"803042,69"
001 Francia,1995,Sectores Económicos,EXPORT,"14321,17"
001 Francia,1996,Sectores Económicos,EXPORT,"15733,06"
001 Francia,1997,Sectores Económicos,EXPORT,"17070,05"
001 Francia,1998,Sectores Económicos,EXPORT,"19434,71"
001 Francia,1999,Sectores Económicos,EXPORT,"20438,50"
001 Francia,2000,Sectores Económicos,EXPORT,"24129,12"
001 Francia,2001,Sectores Económicos,EXPORT,"25324,33"
001 Francia,2002,Sectores Económicos,EXPORT,"25350,81"
001 Francia,2003,Sectores Económicos,EXPORT,"26529,07"
001 Francia,2004,Sectores Económicos,EXPORT,"28486,97"
001 Francia,2005,Sectores Económicos,EXPORT,"29739,55"
001 Francia,2006,Sectores Económicos,EXPORT,"31894,93"
001 Francia,2007,Sectores Económicos,EXPORT,"34786,67"
001 Francia,2008,Sectores Económicos,EXPORT,"34490,97"
001 Francia,2009,Sectores Económicos,EXPORT,"30922,67"
001 Francia,2010,Sectores Económicos,EXPORT,"33941,58"
001 Francia,2011,Sectores Económicos,EXPORT,"37171,16"
001 Francia,2012,Sectores Económicos,EXPORT,"36573,76"
001 Francia,2013,Sectores Económicos,EXPORT,"37935,40"
