fila,subfila,columna,subcolumna,valor
Total seleccionado,,Total Fechas,EXPORT,"4653959857,86"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,Total Fechas,EXPORT,"721552924,78"
2 PRODUCTOS ENERGETICOS,,Total Fechas,EXPORT,"249735183,80"
3 MATERIAS PRIMAS,,Total Fechas,EXPORT,"102905926,04"
4 SEMIMANUFACTURAS,,Total Fechas,EXPORT,"1137978043,12"
5 BIENES DE EQUIPO,,Total Fechas,EXPORT,"961032081,94"
6 SECTOR AUTOMOVIL,,Total Fechas,EXPORT,"814048706,58"
7 BIENES DE CONSUMO DURADERO,,Total Fechas,EXPORT,"107773926,08"
9 OTRAS MERCANCIAS,,Total Fechas,EXPORT,"116642232,79"
8 MANUFACTURAS DE CONSUMO,,Total Fechas,EXPORT,"442290832,73"
Total seleccionado,,Total Fechas,IMPORT,"5731577388,97"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,Total Fechas,IMPORT,"605938095,95"
2 PRODUCTOS ENERGETICOS,,Total Fechas,IMPORT,"849368990,30"
3 MATERIAS PRIMAS,,Total Fechas,IMPORT,"200426772,76"
4 SEMIMANUFACTURAS,,Total Fechas,IMPORT,"1266124881,85"
5 BIENES DE EQUIPO,,Total Fechas,IMPORT,"1257209681,22"
6 SECTOR AUTOMOVIL,,Total Fechas,IMPORT,"749672058,71"
7 BIENES DE CONSUMO DURADERO,,Total Fechas,IMPORT,"160372479,62"
9 OTRAS MERCANCIAS,,Total Fechas,IMPORT,"31786911,17"
8 MANUFACTURAS DE CONSUMO,,Total Fechas,IMPORT,"610677517,39"
Total seleccionado,,1995,EXPORT,"69962210,89"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,1995,EXPORT,"10587648,94"
2 PRODUCTOS ENERGETICOS,,1995,EXPORT,"1463211,58"
3 MATERIAS PRIMAS,,1995,EXPORT,"1434247,09"
4 SEMIMANUFACTURAS,,1995,EXPORT,"15417035,76"
5 BIENES DE EQUIPO,,1995,EXPORT,"14050832,98"
6 SECTOR AUTOMOVIL,,1995,EXPORT,"16043748,55"
7 BIENES DE CONSUMO DURADERO,,1995,EXPORT,"2380396,63"
9 OTRAS MERCANCIAS,,1995,EXPORT,"1181489,49"
8 MANUFACTURAS DE CONSUMO,,1995,EXPORT,"7403599,88"
Total seleccionado,,1995,IMPORT,"87142299,55"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,1995,IMPORT,"11881800,48"
2 PRODUCTOS ENERGETICOS,,1995,IMPORT,"7273590,16"
3 MATERIAS PRIMAS,,1995,IMPORT,"3908596,87"
4 SEMIMANUFACTURAS,,1995,IMPORT,"20216806,40"
5 BIENES DE EQUIPO,,1995,IMPORT,"20322937,09"
6 SECTOR AUTOMOVIL,,1995,IMPORT,"12027638,46"
7 BIENES DE CONSUMO DURADERO,,1995,IMPORT,"2543578,97"
9 OTRAS MERCANCIAS,,1995,IMPORT,"293346,16"
8 MANUFACTURAS DE CONSUMO,,1995,IMPORT,"8674004,97"
Total seleccionado,,1996,EXPORT,"78212098,68"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,1996,EXPORT,"12014761,82"
2 PRODUCTOS ENERGETICOS,,1996,EXPORT,"1914031,44"
3 MATERIAS PRIMAS,,1996,EXPORT,"1301188,02"
4 SEMIMANUFACTURAS,,1996,EXPORT,"16220520,53"
5 BIENES DE EQUIPO,,1996,EXPORT,"16593683,41"
6 SECTOR AUTOMOVIL,,1996,EXPORT,"17499335,13"
7 BIENES DE CONSUMO DURADERO,,1996,EXPORT,"2840221,90"
9 OTRAS MERCANCIAS,,1996,EXPORT,"1468984,38"
8 MANUFACTURAS DE CONSUMO,,1996,EXPORT,"8359372,04"
Total seleccionado,,1996,IMPORT,"94179479,72"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,1996,IMPORT,"11551092,97"
2 PRODUCTOS ENERGETICOS,,1996,IMPORT,"8762422,00"
3 MATERIAS PRIMAS,,1996,IMPORT,"3790354,73"
4 SEMIMANUFACTURAS,,1996,IMPORT,"20328311,85"
5 BIENES DE EQUIPO,,1996,IMPORT,"23346894,25"
6 SECTOR AUTOMOVIL,,1996,IMPORT,"13627056,03"
7 BIENES DE CONSUMO DURADERO,,1996,IMPORT,"2664492,45"
9 OTRAS MERCANCIAS,,1996,IMPORT,"723771,13"
8 MANUFACTURAS DE CONSUMO,,1996,IMPORT,"9385084,31"
Total seleccionado,,1997,EXPORT,"93419368,36"
"1 ALIMENTACIÓN, BEBIDAS Y TABACO",,1997,EXPORT,"14804421,37"
