fila,subfila,columna,subcolumna,valor
Total seleccionado,,2019,EXPORT,"290089074083,07"
Andalucía,,2019,EXPORT,"31738158069,67"
Aragón,,2019,EXPORT,"13472595361,02"
"Asturias, Principado de",,2019,EXPORT,"4833107244,46"
"Balears, Illes",,2019,EXPORT,"1789749385,46"
Canarias,,2019,EXPORT,"2668028504,44"
Cantabria,,2019,EXPORT,"2613480789,66"
Castilla y León,,2019,EXPORT,"14562549827,29"
Castilla-La Mancha,,2019,EXPORT,"7527345537,75"
Cataluña,,2019,EXPORT,"73853465045,08"
Comunitat Valenciana,,2019,EXPORT,"31160193377,38"
Extremadura,,2019,EXPORT,"2089364706,78"
Galicia,,2019,EXPORT,"22196663566,71"
"Madrid, Comunidad de",,2019,EXPORT,"31178909496,69"
"Murcia, Región de",,2019,EXPORT,"10560808215,13"
"Navarra, Comunidad Foral de",,2019,EXPORT,"10147324971,49"
País Vasco,,2019,EXPORT,"25388869215,69"
"Rioja, La",,2019,EXPORT,"1892178895,88"
Ceuta,,2019,EXPORT,"10651709,68"
Melilla,,2019,EXPORT,"19540198,54"
No determinado,,2019,EXPORT,"2386089964,27"
Total seleccionado,,2019,IMPORT,"322068688113,67"
Andalucía,,2019,IMPORT,"30553199090,50"
Aragón,,2019,IMPORT,"11513489713,67"
"Asturias, Principado de",,2019,IMPORT,"4008046365,94"
"Balears, Illes",,2019,IMPORT,"1515622111,26"
Canarias,,2019,IMPORT,"3578086313,79"
Cantabria,,2019,IMPORT,"2169557200,36"
Castilla y León,,2019,IMPORT,"12235883755,83"
Castilla-La Mancha,,2019,IMPORT,"9288519758,68"
Cataluña,,2019,IMPORT,"92419307919,89"
Comunitat Valenciana,,2019,IMPORT,"28420704055,36"
Extremadura,,2019,IMPORT,"1388960528,18"
Galicia,,2019,IMPORT,"19814118813,00"
"Madrid, Comunidad de",,2019,IMPORT,"64411534752,28"
"Murcia, Región de",,2019,IMPORT,"11053998730,10"
"Navarra, Comunidad Foral de",,2019,IMPORT,"5468377152,26"
País Vasco,,2019,IMPORT,"20116740217,39"
"Rioja, La",,2019,IMPORT,"1429437038,08"
Ceuta,,2019,IMPORT,"227024654,41"
Melilla,,2019,IMPORT,"94498957,83"
No determinado,,2019,IMPORT,"2361580984,86"
