fila,subfila,columna,subcolumna,valor
Total seleccionado,Total seleccionado,2019,EXPORT,"287702984118,80"
Total seleccionado,11 PRODUCTOS CÁRNICOS,2019,EXPORT,"8458834801,52"
Total seleccionado,12 LACTEOS Y HUEVOS,2019,EXPORT,"1537654993,98"
Total seleccionado,13 PRODUCTOS PESQUEROS,2019,EXPORT,"4034759626,31"
Total seleccionado,14 CEREALES,2019,EXPORT,"551758180,29"
Total seleccionado,"15 FRUTAS, HORTALIZAS Y LEGUMBRES",2019,EXPORT,"18425572182,81"
Total seleccionado,"16 AZUCAR, CAFE Y CACAO",2019,EXPORT,"1758914242,83"
Total seleccionado,17 PREPARADOS ALIMENTICIOS,2019,EXPORT,"3713257157,80"
Total seleccionado,18 BEBIDAS,2019,EXPORT,"4203521285,11"
Total seleccionado,19 TABACOS,2019,EXPORT,"252907001,12"
Total seleccionado,1A GRASAS Y ACEITES,2019,EXPORT,"4132184045,63"
Total seleccionado,1B SEMILLAS Y FRUTOS OLEAGINOSOS,2019,EXPORT,"159425781,80"
Total seleccionado,1C PIENSOS ANIMALES,2019,EXPORT,"1334084937,06"
Total seleccionado,21 CARBON,2019,EXPORT,"171426958,26"
Total seleccionado,22 PETROLEO Y DERIVADOS,2019,EXPORT,"19479278110,25"
Total seleccionado,23 GAS,2019,EXPORT,"420853538,87"
Total seleccionado,24 CORRIENTE ELECTRICA,2019,EXPORT,"765497705,94"
Total seleccionado,31 MAT. PRIMAS ANIMALES Y VEGETAL,2019,EXPORT,"2835724694,84"
Total seleccionado,32 MENAS Y MINERALES,2019,EXPORT,"4217623207,91"
Total seleccionado,41 METALES NO FERROSOS,2019,EXPORT,"6160254603,96"
Total seleccionado,42 HIERRO Y ACERO,2019,EXPORT,"8343246327,43"
Total seleccionado,43 PRODUCTOS QUIMICOS,2019,EXPORT,"42008694156,55"
Total seleccionado,44 OTRAS SEMIMANUFACTURAS,2019,EXPORT,"14887873401,02"
Total seleccionado,51 MAQ. ESPECIFICA CIERTAS INDUST,2019,EXPORT,"15001161716,63"
Total seleccionado,52 EQUIPO OFICINA Y TELECOMUNIC.,2019,EXPORT,"3696063412,63"
Total seleccionado,53 MATERIAL TRANSPORTE,2019,EXPORT,"15811193815,76"
Total seleccionado,54 OTROS BIENES DE EQUIPO,2019,EXPORT,"24045637386,95"
Total seleccionado,61 AUTOMOVILES Y MOTOS,2019,EXPORT,"31184438224,65"
Total seleccionado,62 COMPONENTES DEL AUTOMOVIL,2019,EXPORT,"12121968735,48"
Total seleccionado,71 ELECTRODOMESTICOS,2019,EXPORT,"1306247684,95"
Total seleccionado,72 ELECTRONICA DE CONSUMO,2019,EXPORT,"372563141,74"
Total seleccionado,73 MUEBLES,2019,EXPORT,"2292100287,91"
Total seleccionado,74 OTROS BIENES CONSUMO DURADERO,2019,EXPORT,"578777488,37"
Total seleccionado,81 TEXTILES Y CONFECCION,2019,EXPORT,"17401409641,21"
Total seleccionado,82 CALZADO,2019,EXPORT,"2840855118,77"
Total seleccionado,83 JUGUETES,2019,EXPORT,"1924901274,18"
Total seleccionado,84 ALFARERIA,2019,EXPORT,"102551452,01"
Total seleccionado,85 JOYERIA Y RELOJES,2019,EXPORT,"813391984,70"
Total seleccionado,86 CUERO Y MANUFACTURAS DEL CUERO,2019,EXPORT,"537698658,28"
Total seleccionado,87 OTRAS MANUFACTURAS DE CONSUMO,2019,EXPORT,"5554025978,14"
Total seleccionado,90 OTRAS MERCANCIAS,2019,EXPORT,"4264651175,15"
Almería,Total seleccionado,2019,EXPORT,"4202864079,36"
Almería,11 PRODUCTOS CÁRNICOS,2019,EXPORT,"16474336,98"
Almería,12 LACTEOS Y HUEVOS,2019,EXPORT,"791131,72"
Almería,13 PRODUCTOS PESQUEROS,2019,EXPORT,"14959505,77"
Almería,14 CEREALES,2019,EXPORT,"73602,03"
Almería,"15 FRUTAS, HORTALIZAS Y LEGUMBRES",2019,EXPORT,"2969651396,63"
